FinancialID,ProjectID,Month,Date,Year,Quarter,CostCategory,PlannedRevenue,ActualRevenue,PlannedCost,ActualCost,GrossProfit,GrossMarginPct
FIN0000073,PRJ001,2022-11,2022-11-21,2022,Q4 2022,Labor,41650.9,43951.21,34709.08,38225.64,5725.57,13.03
FIN0000074,PRJ001,2022-11,2022-11-21,2022,Q4 2022,Materials,47601.02,51081.07,39667.52,44364.53,6716.54,13.15
FIN0000075,PRJ001,2022-11,2022-11-21,2022,Q4 2022,Equipment,22312.98,23013.33,18594.15,18583.83,4429.5,19.25
FIN0000076,PRJ001,2022-11,2022-11-21,2022,Q4 2022,Subcontractor,14875.32,16054.02,12396.1,13086.47,2967.55,18.48
FIN0000077,PRJ001,2022-11,2022-11-21,2022,Q4 2022,Design & Engineering,7437.66,8410.21,6198.05,6820.87,1589.34,18.9
FIN0000078,PRJ001,2022-11,2022-11-21,2022,Q4 2022,Permits & Legal,4462.6,5416.67,3718.83,4311.14,1105.53,20.41
FIN0000079,PRJ001,2022-11,2022-11-21,2022,Q4 2022,Transportation,5950.13,6897.09,4958.44,5719.45,1177.64,17.07
FIN0000080,PRJ001,2022-11,2022-11-21,2022,Q4 2022,Overhead,4462.6,4660.84,3718.83,4147.85,512.99,11.01
FIN0000081,PRJ001,2022-12,2022-12-21,2022,Q4 2022,Labor,57491.38,64095.88,47909.48,55377.15,8718.73,13.6
FIN0000082,PRJ001,2022-12,2022-12-21,2022,Q4 2022,Materials,65704.43,67718.26,54753.69,55580.67,12137.59,17.92
FIN0000083,PRJ001,2022-12,2022-12-21,2022,Q4 2022,Equipment,30798.95,31254.96,25665.79,26769.11,4485.85,14.35
FIN0000084,PRJ001,2022-12,2022-12-21,2022,Q4 2022,Subcontractor,20532.64,20765.18,17110.53,16722.1,4043.08,19.47
FIN0000085,PRJ001,2022-12,2022-12-21,2022,Q4 2022,Design & Engineering,10266.31,11056.04,8555.26,9400.52,1655.52,14.97
FIN0000086,PRJ001,2022-12,2022-12-21,2022,Q4 2022,Permits & Legal,6159.79,6246.01,5133.16,5167.78,1078.23,17.26
FIN0000087,PRJ001,2022-12,2022-12-21,2022,Q4 2022,Transportation,8213.05,8234.81,6844.21,6725.28,1509.53,18.33
FIN0000088,PRJ001,2022-12,2022-12-21,2022,Q4 2022,Overhead,6159.79,6187.8,5133.16,5249.34,938.46,15.17
FIN0000089,PRJ001,2023-01,2023-01-20,2023,Q1 2023,Labor,41355.98,44446.82,34463.32,36401.28,8045.54,18.1
FIN0000090,PRJ001,2023-01,2023-01-20,2023,Q1 2023,Materials,47263.99,54067.41,39386.66,45076.34,8991.07,16.63
FIN0000091,PRJ001,2023-01,2023-01-20,2023,Q1 2023,Equipment,22154.99,20697.41,18462.49,18359.1,2338.31,11.3
FIN0000092,PRJ001,2023-01,2023-01-20,2023,Q1 2023,Subcontractor,14770.0,15000.16,12308.33,12432.82,2567.34,17.12
FIN0000093,PRJ001,2023-01,2023-01-20,2023,Q1 2023,Design & Engineering,7384.99,7997.65,6154.16,6905.87,1091.78,13.65
FIN0000094,PRJ001,2023-01,2023-01-20,2023,Q1 2023,Permits & Legal,4431.0,4911.03,3692.5,4133.89,777.14,15.82
FIN0000095,PRJ001,2023-01,2023-01-20,2023,Q1 2023,Transportation,5908.0,6112.11,4923.33,5277.05,835.06,13.66
FIN0000096,PRJ001,2023-01,2023-01-20,2023,Q1 2023,Overhead,4431.0,4780.43,3692.5,4208.37,572.06,11.97
FIN0000097,PRJ001,2023-02,2023-02-19,2023,Q1 2023,Labor,43797.95,46003.75,36498.29,37863.54,8140.21,17.69
FIN0000098,PRJ001,2023-02,2023-02-19,2023,Q1 2023,Materials,50054.8,54739.55,41712.33,45112.59,9626.96,17.59
FIN0000099,PRJ001,2023-02,2023-02-19,2023,Q1 2023,Equipment,23463.19,22655.19,19552.66,19275.49,3379.7,14.92
FIN0000100,PRJ001,2023-02,2023-02-19,2023,Q1 2023,Subcontractor,15642.12,16161.74,13035.1,14416.27,1745.47,10.8
FIN0000101,PRJ001,2023-02,2023-02-19,2023,Q1 2023,Design & Engineering,7821.06,7802.18,6517.55,6787.03,1015.15,13.01
FIN0000102,PRJ001,2023-02,2023-02-19,2023,Q1 2023,Permits & Legal,4692.64,4545.62,3910.53,3932.97,612.65,13.48
FIN0000103,PRJ001,2023-02,2023-02-19,2023,Q1 2023,Transportation,6256.85,6120.91,5214.04,5459.82,661.09,10.8
FIN0000104,PRJ001,2023-02,2023-02-19,2023,Q1 2023,Overhead,4692.64,5093.62,3910.53,4450.14,643.48,12.63
FIN0000105,PRJ001,2023-03,2023-03-21,2023,Q1 2023,Labor,42434.39,47493.35,35361.99,39909.15,7584.2,15.97
FIN0000106,PRJ001,2023-03,2023-03-21,2023,Q1 2023,Materials,48496.45,57633.05,40413.71,46747.14,10885.91,18.89
FIN0000107,PRJ001,2023-03,2023-03-21,2023,Q1 2023,Equipment,22732.72,23305.45,18943.93,18784.92,4520.53,19.4
FIN0000108,PRJ001,2023-03,2023-03-21,2023,Q1 2023,Subcontractor,15155.14,13967.37,12629.28,12441.72,1525.65,10.92
FIN0000109,PRJ001,2023-03,2023-03-21,2023,Q1 2023,Design & Engineering,7577.57,9211.53,6314.64,7424.49,1787.04,19.4
FIN0000110,PRJ001,2023-03,2023-03-21,2023,Q1 2023,Permits & Legal,4546.55,5006.21,3788.79,4170.88,835.33,16.69
FIN0000111,PRJ001,2023-03,2023-03-21,2023,Q1 2023,Transportation,6062.05,6726.38,5051.71,5707.69,1018.69,15.14
FIN0000112,PRJ001,2023-03,2023-03-21,2023,Q1 2023,Overhead,4546.55,4258.56,3788.79,3792.4,466.16,10.95
FIN0000113,PRJ001,2023-04,2023-04-20,2023,Q2 2023,Labor,40913.57,47297.37,34094.64,39200.91,8096.46,17.12
FIN0000114,PRJ001,2023-04,2023-04-20,2023,Q2 2023,Materials,46758.36,56270.12,38965.3,45060.52,11209.6,19.92
FIN0000115,PRJ001,2023-04,2023-04-20,2023,Q2 2023,Equipment,21917.98,22505.12,18264.98,18175.27,4329.85,19.24
FIN0000116,PRJ001,2023-04,2023-04-20,2023,Q2 2023,Subcontractor,14611.99,15062.62,12176.66,12526.69,2535.93,16.84
FIN0000117,PRJ001,2023-04,2023-04-20,2023,Q2 2023,Design & Engineering,7306.0,7797.56,6088.33,6633.92,1163.64,14.92
FIN0000118,PRJ001,2023-04,2023-04-20,2023,Q2 2023,Permits & Legal,4383.6,4449.53,3653.0,3811.06,638.47,14.35
FIN0000119,PRJ001,2023-04,2023-04-20,2023,Q2 2023,Transportation,5844.79,5838.31,4870.66,5105.48,732.83,12.55
FIN0000120,PRJ001,2023-04,2023-04-20,2023,Q2 2023,Overhead,4383.6,4509.41,3653.0,3969.68,539.73,11.97
FIN0000121,PRJ001,2023-05,2023-05-20,2023,Q2 2023,Labor,45993.59,52528.36,38327.99,44937.8,7590.56,14.45
FIN0000122,PRJ001,2023-05,2023-05-20,2023,Q2 2023,Materials,52564.1,61314.44,43803.42,49661.28,11653.16,19.01
FIN0000123,PRJ001,2023-05,2023-05-20,2023,Q2 2023,Equipment,24639.42,27292.29,20532.85,23669.08,3623.21,13.28
FIN0000124,PRJ001,2023-05,2023-05-20,2023,Q2 2023,Subcontractor,16426.28,15830.77,13688.57,13794.46,2036.31,12.86
FIN0000125,PRJ001,2023-05,2023-05-20,2023,Q2 2023,Design & Engineering,8213.14,9289.04,6844.28,7574.05,1714.99,18.46
FIN0000126,PRJ001,2023-05,2023-05-20,2023,Q2 2023,Permits & Legal,4927.88,5256.61,4106.57,4591.73,664.88,12.65
FIN0000127,PRJ001,2023-05,2023-05-20,2023,Q2 2023,Transportation,6570.52,7446.22,5475.43,6261.66,1184.56,15.91
FIN0000128,PRJ001,2023-05,2023-05-20,2023,Q2 2023,Overhead,4927.88,5739.29,4106.57,4679.85,1059.44,18.46
FIN0000129,PRJ001,2023-06,2023-06-19,2023,Q2 2023,Labor,44318.94,52094.95,36932.45,43447.62,8647.33,16.6
FIN0000130,PRJ001,2023-06,2023-06-19,2023,Q2 2023,Materials,50650.21,56761.6,42208.51,47010.14,9751.46,17.18
FIN0000131,PRJ001,2023-06,2023-06-19,2023,Q2 2023,Equipment,23742.29,27801.91,19785.24,23018.44,4783.47,17.21
FIN0000132,PRJ001,2023-06,2023-06-19,2023,Q2 2023,Subcontractor,15828.19,15028.92,13190.16,13305.11,1723.81,11.47
FIN0000133,PRJ001,2023-06,2023-06-19,2023,Q2 2023,Design & Engineering,7914.1,8217.14,6595.08,7069.15,1147.99,13.97
FIN0000134,PRJ001,2023-06,2023-06-19,2023,Q2 2023,Permits & Legal,4748.46,4621.66,3957.05,4097.71,523.95,11.34
FIN0000135,PRJ001,2023-06,2023-06-19,2023,Q2 2023,Transportation,6331.27,6666.42,5276.06,5729.84,936.58,14.05
FIN0000136,PRJ001,2023-06,2023-06-19,2023,Q2 2023,Overhead,4748.46,4793.65,3957.05,4249.82,543.83,11.34
FIN0000137,PRJ001,2023-07,2023-07-19,2023,Q3 2023,Labor,54819.8,56273.97,45683.17,45345.85,10928.12,19.42
FIN0000138,PRJ001,2023-07,2023-07-19,2023,Q3 2023,Materials,62651.21,73137.66,52209.34,60639.74,12497.92,17.09
FIN0000139,PRJ001,2023-07,2023-07-19,2023,Q3 2023,Equipment,29367.76,31487.38,24473.13,26576.57,4910.81,15.6
FIN0000140,PRJ001,2023-07,2023-07-19,2023,Q3 2023,Subcontractor,19578.5,22013.71,16315.42,17884.9,4128.81,18.76
FIN0000141,PRJ001,2023-07,2023-07-19,2023,Q3 2023,Design & Engineering,9789.25,11293.46,8157.71,9546.76,1746.7,15.47
FIN0000142,PRJ001,2023-07,2023-07-19,2023,Q3 2023,Permits & Legal,5873.56,6827.49,4894.63,5636.7,1190.79,17.44
FIN0000143,PRJ001,2023-07,2023-07-19,2023,Q3 2023,Transportation,7831.4,8097.83,6526.17,6824.47,1273.36,15.72
FIN0000144,PRJ001,2023-07,2023-07-19,2023,Q3 2023,Overhead,5873.56,5572.41,4894.63,4937.18,635.23,11.4
FIN0000145,PRJ001,2023-08,2023-08-18,2023,Q3 2023,Labor,34843.7,39716.0,29036.42,34001.06,5714.94,14.39
FIN0000146,PRJ001,2023-08,2023-08-18,2023,Q3 2023,Materials,39821.39,44682.52,33184.49,37528.25,7154.27,16.01
FIN0000147,PRJ001,2023-08,2023-08-18,2023,Q3 2023,Equipment,18666.28,18202.05,15555.23,15763.66,2438.39,13.4
FIN0000148,PRJ001,2023-08,2023-08-18,2023,Q3 2023,Subcontractor,12444.18,13121.44,10370.15,11105.57,2015.87,15.36
FIN0000149,PRJ001,2023-08,2023-08-18,2023,Q3 2023,Design & Engineering,6222.1,6451.7,5185.08,5648.36,803.34,12.45
FIN0000150,PRJ001,2023-08,2023-08-18,2023,Q3 2023,Permits & Legal,3733.26,3812.64,3111.05,3287.88,524.76,13.76
FIN0000151,PRJ001,2023-08,2023-08-18,2023,Q3 2023,Transportation,4977.67,5155.29,4148.06,4416.15,739.14,14.34
FIN0000152,PRJ001,2023-08,2023-08-18,2023,Q3 2023,Overhead,3733.26,4232.55,3111.05,3439.72,792.83,18.73
FIN0000153,PRJ001,2023-09,2023-09-17,2023,Q3 2023,Labor,49761.52,46535.48,41467.93,41064.43,5471.05,11.76
FIN0000154,PRJ001,2023-09,2023-09-17,2023,Q3 2023,Materials,56870.3,61730.52,47391.92,53226.03,8504.49,13.78
FIN0000155,PRJ001,2023-09,2023-09-17,2023,Q3 2023,Equipment,26657.95,30501.84,22214.96,25168.22,5333.62,17.49
FIN0000156,PRJ001,2023-09,2023-09-17,2023,Q3 2023,Subcontractor,17771.98,21572.29,14809.98,17365.37,4206.92,19.5
FIN0000157,PRJ001,2023-09,2023-09-17,2023,Q3 2023,Design & Engineering,8885.99,9327.26,7404.99,7762.47,1564.79,16.78
FIN0000158,PRJ001,2023-09,2023-09-17,2023,Q3 2023,Permits & Legal,5331.59,5228.28,4442.99,4472.53,755.75,14.46
FIN0000159,PRJ001,2023-09,2023-09-17,2023,Q3 2023,Transportation,7108.79,8554.92,5923.99,7024.97,1529.95,17.88
FIN0000160,PRJ001,2023-09,2023-09-17,2023,Q3 2023,Overhead,5331.59,5672.31,4442.99,4713.94,958.37,16.9
FIN0000161,PRJ001,2023-10,2023-10-17,2023,Q4 2023,Labor,57736.02,58857.08,48113.35,50187.87,8669.21,14.73
FIN0000162,PRJ001,2023-10,2023-10-17,2023,Q4 2023,Materials,65984.02,77863.94,54986.68,63106.7,14757.24,18.95
FIN0000163,PRJ001,2023-10,2023-10-17,2023,Q4 2023,Equipment,30930.01,35724.21,25775.01,28901.81,6822.4,19.1
FIN0000164,PRJ001,2023-10,2023-10-17,2023,Q4 2023,Subcontractor,20620.01,23740.06,17183.34,19523.75,4216.31,17.76
FIN0000165,PRJ001,2023-10,2023-10-17,2023,Q4 2023,Design & Engineering,10310.0,11337.16,8591.67,9366.12,1971.04,17.39
FIN0000166,PRJ001,2023-10,2023-10-17,2023,Q4 2023,Permits & Legal,6186.0,6443.91,5155.0,5504.53,939.38,14.58
FIN0000167,PRJ001,2023-10,2023-10-17,2023,Q4 2023,Transportation,8248.01,8301.51,6873.34,7248.73,1052.78,12.68
FIN0000168,PRJ001,2023-10,2023-10-17,2023,Q4 2023,Overhead,6186.0,6602.37,5155.0,5270.62,1331.75,20.17
FIN0000169,PRJ001,2023-11,2023-11-16,2023,Q4 2023,Labor,45343.97,44129.64,37786.64,38735.38,5394.26,12.22
FIN0000170,PRJ001,2023-11,2023-11-16,2023,Q4 2023,Materials,51821.68,53082.39,43184.73,42869.92,10212.47,19.24
FIN0000171,PRJ001,2023-11,2023-11-16,2023,Q4 2023,Equipment,24291.41,24804.68,20242.84,20200.53,4604.15,18.56
FIN0000172,PRJ001,2023-11,2023-11-16,2023,Q4 2023,Subcontractor,16194.28,19420.99,13495.23,15615.3,3805.69,19.6
FIN0000173,PRJ001,2023-11,2023-11-16,2023,Q4 2023,Design & Engineering,8097.13,7750.72,6747.61,6640.74,1109.98,14.32
FIN0000174,PRJ001,2023-11,2023-11-16,2023,Q4 2023,Permits & Legal,4858.28,5263.91,4048.57,4624.17,639.74,12.15
FIN0000175,PRJ001,2023-11,2023-11-16,2023,Q4 2023,Transportation,6477.71,6524.26,5398.09,5709.44,814.82,12.49
FIN0000176,PRJ001,2023-11,2023-11-16,2023,Q4 2023,Overhead,4858.28,5748.4,4048.57,4681.28,1067.12,18.56
FIN0000177,PRJ001,2023-12,2023-12-16,2023,Q4 2023,Labor,54198.38,53986.3,45165.32,45701.75,8284.55,15.35
FIN0000178,PRJ001,2023-12,2023-12-16,2023,Q4 2023,Materials,61941.01,66779.96,51617.51,54976.92,11803.04,17.67
FIN0000179,PRJ001,2023-12,2023-12-16,2023,Q4 2023,Equipment,29034.85,29390.22,24195.71,24860.87,4529.35,15.41
FIN0000180,PRJ001,2023-12,2023-12-16,2023,Q4 2023,Subcontractor,19356.56,20502.73,16130.47,16739.72,3763.01,18.35
FIN0000181,PRJ001,2023-12,2023-12-16,2023,Q4 2023,Design & Engineering,9678.29,10342.74,8065.24,8656.74,1686.0,16.3
FIN0000182,PRJ001,2023-12,2023-12-16,2023,Q4 2023,Permits & Legal,5806.97,6224.82,4839.14,5047.67,1177.15,18.91
FIN0000183,PRJ001,2023-12,2023-12-16,2023,Q4 2023,Transportation,7742.63,8600.89,6452.19,6953.5,1647.39,19.15
FIN0000184,PRJ001,2023-12,2023-12-16,2023,Q4 2023,Overhead,5806.97,6399.45,4839.14,5108.94,1290.51,20.17
FIN0000185,PRJ001,2024-01,2024-01-15,2024,Q1 2024,Labor,59009.9,61354.95,49174.92,52917.38,8437.57,13.75
FIN0000186,PRJ001,2024-01,2024-01-15,2024,Q1 2024,Materials,67439.89,71038.8,56199.91,59504.24,11534.56,16.24
FIN0000187,PRJ001,2024-01,2024-01-15,2024,Q1 2024,Equipment,31612.45,38551.15,26343.71,31231.57,7319.58,18.99
FIN0000188,PRJ001,2024-01,2024-01-15,2024,Q1 2024,Subcontractor,21074.96,23006.87,17562.47,20192.52,2814.35,12.23
FIN0000189,PRJ001,2024-01,2024-01-15,2024,Q1 2024,Design & Engineering,10537.49,10944.02,8781.24,9046.4,1897.62,17.34
FIN0000190,PRJ001,2024-01,2024-01-15,2024,Q1 2024,Permits & Legal,6322.49,7354.69,5268.74,6141.01,1213.68,16.5
FIN0000191,PRJ001,2024-01,2024-01-15,2024,Q1 2024,Transportation,8429.99,8684.48,7024.99,7012.52,1671.96,19.25
FIN0000192,PRJ001,2024-01,2024-01-15,2024,Q1 2024,Overhead,6322.49,7092.59,5268.74,6114.78,977.81,13.79
FIN0000193,PRJ001,2024-02,2024-02-14,2024,Q1 2024,Labor,52938.5,56933.21,44115.42,45665.56,11267.65,19.79
FIN0000194,PRJ001,2024-02,2024-02-14,2024,Q1 2024,Materials,60501.14,60028.0,50417.62,50817.52,9210.48,15.34
FIN0000195,PRJ001,2024-02,2024-02-14,2024,Q1 2024,Equipment,28359.91,32134.2,23633.26,27916.44,4217.76,13.13
FIN0000196,PRJ001,2024-02,2024-02-14,2024,Q1 2024,Subcontractor,18906.61,19776.78,15755.51,16918.53,2858.25,14.45
FIN0000197,PRJ001,2024-02,2024-02-14,2024,Q1 2024,Design & Engineering,9453.3,8719.8,7877.75,7734.05,985.75,11.3
FIN0000198,PRJ001,2024-02,2024-02-14,2024,Q1 2024,Permits & Legal,5671.98,5912.3,4726.65,5127.71,784.59,13.27
FIN0000199,PRJ001,2024-02,2024-02-14,2024,Q1 2024,Transportation,7562.64,8805.55,6302.2,7510.14,1295.41,14.71
